"osite","lohko","koeala","paino","T"
1,42026,9,3.8595066773,11.24
1,42026,10,3.8595066773,11.24
1,42028,2,3.8595066773,11.0766666666667
1,42028,3,3.8595066773,11.0766666666667
1,42029,4,3.8595066773,11.11
1,42029,8,3.8595066773,10.9833333333333
1,42029,10,3.8595066773,10.9833333333333
1,42031,3,3.8595066773,11.0566666666667
1,42031,6,3.8595066773,11.11
1,42031,7,3.8595066773,11.11
1,42032,3,3.8595066773,11.04
1,42041,10,3.8595066773,11.0233333333333
1,42042,3,3.8595066773,11.1
1,42042,4,3.8595066773,11.1
1,42044,4,3.8595066773,11.0666666666667
1,42044,5,3.8595066773,11.0533333333333
1,42044,6,3.8595066773,11.0533333333333
1,42044,7,3.8595066773,11.0533333333333
1,42044,8,3.8595066773,11.0533333333333
1,42044,9,3.8595066773,11.0533333333333
1,42045,10,3.8595066773,11.1566666666667
1,42046,3,3.8595066773,11.3133333333333
1,42047,3,3.8595066773,11.3133333333333
1,42047,7,3.8595066773,11.21
1,42048,2,3.8595066773,11.3966666666667
1,42048,10,3.8595066773,11.2633333333333
1,42049,2,3.8595066773,11.45
1,42050,3,3.8595066773,11.45
1,42051,4,3.8595066773,11.4533333333333
1,42057,9,3.8595066773,11.7866666666667
1,42059,2,3.8595066773,11.6466666666667
1,42059,5,3.8595066773,11.6966666666667
1,42059,10,3.8595066773,11.6966666666667
1,42060,7,3.8595066773,11.6966666666667
1,42068,6,3.8595066773,12.3266666666667
1,42071,7,3.8595066773,12.1733333333333
1,42072,2,3.8595066773,12.5466666666667
1,42072,3,3.8595066773,12.5466666666667
1,42084,2,3.8595066773,11.8566666666667
1,42084,6,3.8595066773,11.9466666666667
1,42084,7,3.8595066773,11.9466666666667
1,42085,5,3.8595066773,11.68
1,42085,6,3.8595066773,11.68
1,42086,10,3.8595066773,11.4666666666667
1,42086,11,3.8595066773,11.4666666666667
1,42087,6,3.8595066773,11.4666666666667
1,42089,10,3.8595066773,11.16
1,43022,2,3.8595066773,11.88
1,43022,3,3.8595066773,11.88
1,43022,4,3.8595066773,11.88
1,43022,5,3.8595066773,11.88
1,43022,8,3.8595066773,11.88
1,43024,2,3.8595066773,11.6633333333333
1,43024,3,3.8595066773,11.6633333333333
1,43024,4,3.8595066773,11.6633333333333
1,43024,5,3.8595066773,11.6633333333333
1,43024,8,3.8595066773,11.6633333333333
1,43025,6,3.8595066773,11.2066666666667
1,43027,4,3.8595066773,11.24
1,43027,6,3.8595066773,11.24
1,43028,2,3.8595066773,11.0266666666667
1,43028,3,3.8595066773,11.0266666666667
1,43028,6,3.8595066773,11.0266666666667
1,43028,7,3.8595066773,11.0266666666667
1,43028,8,3.8595066773,11.0266666666667
1,43028,9,3.8595066773,11.0266666666667
1,43028,10,3.8595066773,11.0266666666667
1,43029,10,3.8595066773,10.9833333333333
1,43030,5,3.8595066773,10.9833333333333
1,43030,6,3.8595066773,10.9833333333333
