ALUE	YEAR	MONTH	meanT
1	2018	10	4.978522727
1	2018	11	1.748295455
1	2018	12	-3.708011364
1	2019	1	-9.053977273
1	2019	2	-2.974375
1	2019	3	-1.930340909
1	2019	4	4.812840909
1	2019	5	8.939772727
1	2019	6	16.05602273
1	2019	7	15.56170455
1	2019	8	15.00227273
1	2019	9	9.686875
1	2019	10	3.280852273
1	2019	11	-0.374886364
1	2019	12	-0.488352273
1	2020	1	0.005738636
1	2020	2	-1.665284091
2	1960	1	-15.01935484
2	1960	2	-14.89873498
2	1960	3	-5.649525617
2	1960	4	0.422390892
2	1960	5	8.705313093
2	1960	6	12.45629349
2	1960	7	17.74035421
2	1960	8	12.9970272
2	1960	9	7.194054396
2	1960	10	-3.787160025
2	1960	11	-7.243959519
2	1960	12	-8.491587603
2	1961	1	-9.661859583
2	1961	2	-7.889753321
2	1961	3	-5.624731183
2	1961	4	-3.587096774
2	1961	5	4.202403542
2	1961	6	13.9426945
2	1961	7	15.48462998
2	1961	8	11.90037951
2	1961	9	6.745098039
2	1961	10	5.799873498
2	1961	11	-2.643074004
2	1961	12	-13.04788109
2	1962	1	-12.96533839
2	1962	2	-10.57223276
2	1962	3	-14.33946869
2	1962	4	0.425996205
2	1962	5	4.70512334
2	1962	6	9.379759646
2	1962	7	11.36957622
2	1962	8	9.827577483
2	1962	9	6.197596458
2	1962	10	1.329095509
2	1962	11	-2.601265022
2	1962	12	-14.22239089
2	1963	1	-14.94585705
2	1963	2	-15.03965844
2	1963	3	-12.98880455
2	1963	4	-0.497596458
2	1963	5	10.49664769
2	1963	6	9.71600253
2	1963	7	12.89493991
2	1963	8	12.49816572
2	1963	9	9.124098672
2	1963	10	1.60113852
2	1963	11	-5.77084124
2	1963	12	-10.52454143
2	1964	1	-6.769512966
2	1964	2	-13.83263757
2	1964	3	-8.343833017
2	1964	4	-2.222770398
2	1964	5	5.915496521
2	1964	6	10.24971537
2	1964	7	14.05958254
2	1964	8	11.42435168
2	1964	9	5.589247312
2	1964	10	3.517583808
2	1964	11	-6.658064516
2	1964	12	-9.208159393
2	1965	1	-10.97703985
2	1965	2	-12.32314991
2	1965	3	-9.278621126
2	1965	4	-1.044402277
2	1965	5	2.304301075
2	1965	6	11.08608476
2	1965	7	11.81100569
2	1965	8	10.73219481
2	1965	9	7.873434535
2	1965	10	0.440417457
2	1965	11	-10.05376344
2	1965	12	-13.08595825
2	1966	1	-19.88355471
2	1966	2	-21.99329538
2	1966	3	-14.02662872
2	1966	4	-3.914611006
2	1966	5	4.761290323
2	1966	6	13.24123972
2	1966	7	14.38513599
2	1966	8	10.68652751
2	1966	9	4.074193548
2	1966	10	-1.59259962
2	1966	11	-2.714674257
2	1966	12	-9.938962682
2	1967	1	-18.17039848
2	1967	2	-9.009993675
2	1967	3	-3.040164453
2	1967	4	-0.379633144
2	1967	5	4.906514864
2	1967	6	10.81473751
2	1967	7	13.7857685
2	1967	8	14.09854522
2	1967	9	8.132321316
2	1967	10	1.114231499
2	1967	11	-0.66059456
2	1967	12	-18.22688172
2	1968	1	-19.36774194
2	1968	2	-14.33750791
2	1968	3	-7.134092347
2	1968	4	-1.840796964
2	1968	5	2.511827957
2	1968	6	11.89778621
2	1968	7	11.44035421
2	1968	8	10.98146743
2	1968	9	4.465528147
2	1968	10	-5.413662239
2	1968	11	-5.932447818
2	1968	12	-5.785958254
2	1969	1	-15.04301075
2	1969	2	-16.86040481
2	1969	3	-10.37122075
2	1969	4	-2.624541429
2	1969	5	3.073181531
2	1969	6	11.07666034
2	1969	7	13.97558507
2	1969	8	13.34952562
2	1969	9	5.474826059
2	1969	10	1.303478811
2	1969	11	-5.750727388
2	1969	12	-10.87817837
2	1970	1	-13.82106262
2	1970	2	-18.53782416
2	1970	3	-5.512839975
2	1970	4	-4.091903858
2	1970	5	4.791840607
2	1970	6	14.41745731
2	1970	7	15.40018975
2	1970	8	12.79620493
2	1970	9	6.557558507
2	1970	10	0.511574953
2	1970	11	-8.257432005
2	1970	12	-8.88741303
2	1971	1	-10.94060721
2	1971	2	-14.60575585
2	1971	3	-12.18285895
2	1971	4	-3.804996837
2	1971	5	4.162175838
2	1971	6	10.97381404
2	1971	7	13.20803289
2	1971	8	11.87963314
2	1971	9	5.12055661
2	1971	10	-1.006957622
2	1971	11	-10.63421885
2	1971	12	-9.386464263
2	1972	1	-10.66464263
2	1972	2	-11.16900696
2	1972	3	-6.407906388
2	1972	4	-1.424161923
2	1972	5	4.361796331
2	1972	6	14.28633776
2	1972	7	17.46375712
2	1972	8	13.1055661
2	1972	9	6.263377609
2	1972	10	0.140354206
2	1972	11	-7.460974067
2	1972	12	-2.863567362
2	1973	1	-8.075774826
2	1973	2	-11.05629349
2	1973	3	-6.181214421
2	1973	4	-1.208665402
2	1973	5	5.157368754
2	1973	6	13.15724225
2	1973	7	17.91315623
2	1973	8	10.88102467
2	1973	9	3.412144213
2	1973	10	-3.716888046
2	1973	11	-9.745098039
2	1973	12	-15.81638204
2	1974	1	-9.487033523
2	1974	2	-6.499683744
2	1974	3	-4.691967109
2	1974	4	-1.046552815
2	1974	5	3.888108792
2	1974	6	13.13434535
2	1974	7	15.19108159
2	1974	8	12.35585073
2	1974	9	9.078178368
2	1974	10	0.573308033
2	1974	11	-5.247817837
2	1974	12	-4.409930424
2	1975	1	-10.40948767
2	1975	2	-8.494813409
2	1975	3	-3.149905123
2	1975	4	-1.31201771
2	1975	5	6.831878558
2	1975	6	9.684946237
2	1975	7	12.73858318
2	1975	8	10.22150538
2	1975	9	7.903478811
2	1975	10	0.198102467
2	1975	11	-4.216951297
2	1975	12	-10.90189753
2	1976	1	-17.90126502
2	1976	2	-11.07583808
2	1976	3	-9.568500949
2	1976	4	-1.57197976
2	1976	5	7.101391524
2	1976	6	9.264516129
2	1976	7	12.91581278
2	1976	8	11.99196711
2	1976	9	3.599810247
2	1976	10	-2.911764706
2	1976	11	-7.046552815
2	1976	12	-10.3230234
2	1977	1	-12.08640101
2	1977	2	-13.32220114
2	1977	3	-7.544655281
2	1977	4	-2.605882353
2	1977	5	4.066982922
2	1977	6	10.24920936
2	1977	7	13.64560405
2	1977	8	10.66963947
2	1977	9	4.864452878
2	1977	10	-1.323339658
2	1977	11	-4.453383934
2	1977	12	-10.41302973
2	1978	1	-13.54667932
2	1978	2	-15.87583808
2	1978	3	-7.18570525
2	1978	4	-3.045224541
2	1978	5	6.036938646
2	1978	6	11.33383934
2	1978	7	13.30480708
2	1978	8	10.33023403
2	1978	9	5.544528779
2	1978	10	-0.941619228
2	1978	11	-6.308349146
2	1978	12	-19.06185958
2	1979	1	-16.42523719
2	1979	2	-14.05053763
2	1979	3	-6.023213156
2	1979	4	-3.127134725
2	1979	5	6.152877925
2	1979	6	12.38760278
2	1979	7	14.49797596
2	1979	8	12.7456673
2	1979	9	6.618153068
2	1979	10	-2.354648956
2	1979	11	-4.718216319
2	1979	12	-8.874636306
2	1980	1	-14.93934219
2	1980	2	-14.985895
2	1980	3	-9.788235294
2	1980	4	0.322201139
2	1980	5	4.71087919
2	1980	6	14.85509171
2	1980	7	14.4054396
2	1980	8	11.51524352
2	1980	9	6.848893106
2	1980	10	-0.920113852
2	1980	11	-11.03883618
2	1980	12	-13.37716635
2	1981	1	-11.63617963
2	1981	2	-14.03086654
2	1981	3	-13.27975965
2	1981	4	-2.411764706
2	1981	5	6.267172676
2	1981	6	8.954648956
2	1981	7	14.41334598
2	1981	8	10.55009488
2	1981	9	6.086021505
2	1981	10	1.486021505
2	1981	11	-5.861100569
2	1981	12	-16.20917141
2	1982	1	-18.32890576
2	1982	2	-9.113598988
2	1982	3	-5.161859583
2	1982	4	-0.790196078
2	1982	5	4.763061354
2	1982	6	7.259582543
2	1982	7	14.54256799
2	1982	8	11.29082859
2	1982	9	6.243137255
2	1982	10	-0.020493359
2	1982	11	-2.90917141
2	1982	12	-7.471790006
2	1983	1	-9.68001265
2	1983	2	-12.31037318
2	1983	3	-6.725047438
2	1983	4	1.150664137
2	1983	5	6.918785579
2	1983	6	11.00847565
2	1983	7	14.58671727
2	1983	8	10.41075269
2	1983	9	8.100632511
2	1983	10	0.564389627
2	1983	11	-11.84395952
2	1983	12	-13.02422517
2	1984	1	-12.90215054
2	1984	2	-6.959582543
2	1984	3	-9.020999367
2	1984	4	0.16970272
2	1984	5	9.64516129
2	1984	6	11.66628716
2	1984	7	12.86654016
2	1984	8	10.80430108
2	1984	9	5.574383302
2	1984	10	0.672043011
2	1984	11	-6.603162555
2	1984	12	-7.348640101
2	1985	1	-22.63959519
2	1985	2	-21.56578115
2	1985	3	-6.103921569
2	1985	4	-3.49658444
2	1985	5	3.311891208
2	1985	6	11.35926629
2	1985	7	14.45110689
2	1985	8	12.41100569
2	1985	9	6.6943074
2	1985	10	1.460974067
2	1985	11	-6.877988615
2	1985	12	-17.49101834
2	1986	1	-17.45812777
2	1986	2	-14.49399114
2	1986	3	-3.564769133
2	1986	4	-2.366793169
2	1986	5	6.046742568
2	1986	6	14.44433903
2	1986	7	14.19316888
2	1986	8	9.404237824
