region year litter_type ground litter mortality
north 1999 coarse_woody_litter above 0.028736511897043 natural
north 2000 coarse_woody_litter above 0.0315804928789744 natural
north 2001 coarse_woody_litter above 0.0345029527094226 natural
north 2002 coarse_woody_litter above 0.0345201682973354 natural
north 2003 coarse_woody_litter above 0.0345371813729577 natural
north 2004 coarse_woody_litter above 0.0345540541443375 natural
north 2005 coarse_woody_litter above 0.0345732706443477 natural
north 2006 coarse_woody_litter above 0.0345887935521963 natural
north 2007 coarse_woody_litter above 0.0345957939066935 natural
north 2008 coarse_woody_litter above 0.0366457542566006 natural
north 2009 coarse_woody_litter above 0.0476695289128685 natural
north 2010 coarse_woody_litter above 0.0502622861273301 natural
north 2011 coarse_woody_litter above 0.0502489137127935 natural
north 2012 coarse_woody_litter above 0.0502339487099014 natural
north 2013 coarse_woody_litter above 0.0502260735675785 natural
north 2014 coarse_woody_litter above 0.0502247485929126 natural
north 2015 coarse_woody_litter above 0.0502210329449452 natural
north 2016 coarse_woody_litter above 0.0502204543279349 natural
north 2017 coarse_woody_litter above 0.050225296849813 natural
north 2018 coarse_woody_litter above 0.0502217790760344 natural
north 2019 coarse_woody_litter above 0.0502123855329006 natural
north 2020 coarse_woody_litter above 0.0502076520318522 natural
north 2021 coarse_woody_litter above 0.0501997699176983 natural
south 1990 coarse_woody_litter above 0.032605598930662 natural
south 1991 coarse_woody_litter above 0.0325941903026775 natural
south 1992 coarse_woody_litter above 0.0325863994096494 natural
south 1993 coarse_woody_litter above 0.0325816401415827 natural
south 1994 coarse_woody_litter above 0.0325790447630834 natural
south 1995 coarse_woody_litter above 0.0325786122401996 natural
south 1996 coarse_woody_litter above 0.0325805030677256 natural
south 1997 coarse_woody_litter above 0.0371715132783547 natural
south 1998 coarse_woody_litter above 0.0417692942849342 natural
south 1999 coarse_woody_litter above 0.0464894186419805 natural
south 2000 coarse_woody_litter above 0.0511025187587334 natural
south 2001 coarse_woody_litter above 0.0558359646909165 natural
south 2002 coarse_woody_litter above 0.0558600304626362 natural
south 2003 coarse_woody_litter above 0.0558887497593378 natural
south 2004 coarse_woody_litter above 0.0559196900001156 natural
south 2005 coarse_woody_litter above 0.0559504728167364 natural
south 2006 coarse_woody_litter above 0.0559799461981204 natural
south 2007 coarse_woody_litter above 0.0560144458002229 natural
south 2008 coarse_woody_litter above 0.059345391407332 natural
south 2009 coarse_woody_litter above 0.0691269660565637 natural
south 2010 coarse_woody_litter above 0.072915948799003 natural
south 2011 coarse_woody_litter above 0.0729210688515827 natural
south 2012 coarse_woody_litter above 0.0729350970263587 natural
south 2013 coarse_woody_litter above 0.0729745941550551 natural
south 2014 coarse_woody_litter above 0.0729874719950981 natural
