region peat_type year fine_root_litter_production litter_biomass total_below_ground_litter
south 2 2005 1.06238952357279 0.135324207788541 1.19771373136134
south 2 2006 1.06492389556216 0.136262921627384 1.20118681718955
south 2 2007 1.06668258191829 0.137059523846528 1.20374210576481
south 2 2008 1.06702051206847 0.137595832517508 1.20461634458598
south 2 2009 1.06735936805482 0.138133610527524 1.20549297858234
south 2 2010 1.06769729820505 0.138669919198575 1.20636721740362
south 2 2011 1.0680352283553 0.139206227869656 1.20724145622496
south 2 2012 1.06716897678067 0.139461924723103 1.20663090150378
south 2 2013 1.06465889227255 0.139335810934993 1.20399470320754
south 2 2014 1.06215566591784 0.139210041720025 1.20136570763787
south 2 2015 1.05965243956371 0.139084272505086 1.1987367120688
south 2 2016 1.05714921320958 0.138958503290147 1.19610771649973
south 2 2017 1.05034056345193 0.13801481464898 1.18835537810091
south 2 2018 1.04353191369427 0.137071126007813 1.18060303970209
south 2 2019 1.03672326393662 0.136127437366645 1.17285070130326
south 2 2020 1.02991461417897 0.135183748725478 1.16509836290444
south 2 2021 1.02991461417897 0.135183748725478 1.16509836290444
south 4 1990 1.52972415636749 0.0788400584837402 1.60856421485123
south 4 1991 1.54029631304633 0.0811245195934185 1.62142083263974
south 4 1992 1.55086846972516 0.0834089807030968 1.63427745042825
south 4 1993 1.56146959121628 0.0856997006102232 1.64716929182651
south 4 1994 1.57204174789521 0.0879841617199218 1.66002590961513
south 4 1995 1.58261390457414 0.0902686228296203 1.67288252740376
south 4 1996 1.59318606124259 0.0925530839370568 1.68573914517965
south 4 1997 1.60378718273277 0.0948438038439786 1.69863098657675
south 4 1998 1.61435933941014 0.0971282649533405 1.71148760436348
south 4 1999 1.62158793053723 0.0988621522713045 1.72045008280854
south 4 2000 1.62431264023593 0.0998544004507553 1.72416704068668
south 4 2001 1.62704481489271 0.100849367118369 1.72789418201108
south 4 2002 1.62976952459132 0.101841615297788 1.73161113988911
south 4 2003 1.63249423429004 0.102833863477246 1.73532809776729
south 4 2004 1.63521894398876 0.103826111656703 1.73904505564546
south 4 2005 1.63795111864556 0.104821078324323 1.74277219696988
south 4 2006 1.64067582834427 0.105813326503781 1.74648915484805
