region year month mean_T sd_T cv
north 1987 6 11.1672642244739 1.0448764743584 9.35660205897583
south 1987 6 12.7656818181818 0.600439095449363 4.70354113474905
north 1987 7 12.6874512860483 0.801747295099399 6.31921476601873
south 1987 7 14.53875 0.470733735929481 3.23778685189223
north 1987 8 9.50631332813718 0.900389438209071 9.47148917913384
south 1987 8 11.1816477272727 0.649185969299264 5.80581668402824
north 1987 9 6.35970381917381 0.753176677291784 11.8429521044838
south 1987 9 7.93454545454545 0.652026898950405 8.21757090794507
north 1987 10 5.37490257209665 0.668835963942315 12.4436853500289
south 1987 10 6.08375 0.669745460885216 11.0087604008254
north 1987 11 -7.65674201091193 1.57156608338643 -20.5252584081679
south 1987 11 -2.97835227272727 1.99913358458676 -67.1221333652433
north 1987 12 -14.3756040530008 2.44395628321018 -17.0007206250233
south 1987 12 -7.66119318181818 2.39581778564945 -31.2721233989411
north 1988 1 -10.6770849571317 2.05212615623587 -19.2199103451467
south 1988 1 -5.60494318181818 2.05417903389838 -36.649417616969
north 1988 2 -11.0995323460639 1.27271244710535 -11.4663609909356
south 1988 2 -6.52181818181818 1.7876752877742 -27.4106888284308
north 1988 3 -6.58113795791115 1.13228867485251 -17.2050590960701
south 1988 3 -3.89602272727273 0.657683912759221 -16.8809054463502
north 1988 4 -2.57568199532346 1.40713616907751 -54.631595501012
south 1988 4 0.209829545454545 0.880823413433706 419.780451568731
north 1988 5 6.79243959469992 1.53215576819898 22.5567816516839
south 1988 5 10.2102840909091 1.06836889006086 10.4636548850987
north 1988 6 13.7148869836321 1.03178263056407 7.52308518324244
south 1988 6 16.0366477272727 0.820157579109829 5.11427071952842
north 1988 7 17.371161340608 1.18077190226621 6.79731123966914
south 1988 7 19.1159659090909 0.552240440603498 2.88889634575499
north 1988 8 12.049883086516 0.762021432367659 6.32389067094247
south 1988 8 13.6733522727273 0.4755417733115 3.47787260816801
north 1988 9 8.20530007794232 1.05851570919229 12.9003899813222
south 1988 9 10.3379545454545 0.668662056796084 6.4680305359834
north 1988 10 0.74169914263445 1.28594923748783 173.378822162346
south 1988 10 3.66914772727273 0.816562047121855 22.2548152273172
north 1988 11 -9.71137957911146 1.86956781655705 -19.2513102935279
south 1988 11 -5.29085227272727 1.59609079034491 -30.1669883805349
north 1988 12 -13.5983632112237 2.12503951743444 -15.6271713325064
south 1988 12 -8.54840909090909 1.74194736999323 -20.3774451066659
north 1989 1 -7.26796570537802 1.92455465004428 -26.4799632807868
south 1989 1 -2.0525 1.57130482815727 -76.5556554522419
north 1989 2 -6.65526110678098 2.34827117798899 -35.2844334776942
south 1989 2 -1.430625 1.23594987500264 -86.3923023156062
north 1989 3 -1.8514419329696 1.07257138954298 -57.9316785713412
south 1989 3 0.486193181818182 0.634095889972066 130.420564023704
north 1989 4 2.29992205767732 0.964684517637368 41.9442265192064
south 1989 4 4.36704545454545 0.745640594121484 17.0742576848011
north 1989 5 7.73242400623539 1.05817195906973 13.6848672320145
south 1989 5 10.1417613636364 0.62272692495651 6.14022458849524
north 1989 6 13.7937646141855 1.03139111974953 7.47722720082413
south 1989 6 15.6502840909091 0.755815000463629 4.8294011538274
north 1989 7 14.1325019485581 1.00365737916213 7.10176713801572
south 1989 7 16.336875 0.720028113791656 4.40737970873656
north 1989 8 12.54621979735 0.816220679804978 6.50571003050163
south 1989 8 13.9140909090909 0.454195617093568 3.26428524911257
