region year tkg species component ddiff12 bm
1 2001 4 2 8 -5537.101358 5.2388050131943
1 2001 4 2 4 -5537.101358 0.936518950166673
1 2001 6 2 8 -5537.101358 0.471204525342521
1 2001 6 2 4 -5537.101358 0.0960566373843978
1 2001 7 2 8 -5537.101358 0
1 2001 7 2 4 -5537.101358 0
1 2001 1 3 8 -5537.101358 35.830476197851
1 2001 1 3 4 -5537.101358 1.48080657330244
1 2001 2 3 8 -5537.101358 24.1860437696816
1 2001 2 3 4 -5537.101358 1.0612479124022
1 2001 4 3 8 -5537.101358 12.331852246843
1 2001 4 3 4 -5537.101358 0.679862016816744
1 2001 6 3 8 -5537.101358 2.64960902370577
1 2001 6 3 4 -5537.101358 0.180425170989624
1 2001 7 3 8 -5537.101358 1.03960633623687
1 2001 7 3 4 -5537.101358 0.124589261198067
1 2001 1 1 9 -5537.101358 2.57332193871566
1 2001 1 1 5 -5537.101358 0.324952838712586
1 2001 2 1 9 -5537.101358 6.70701041104978
1 2001 6 2 9 -5537.101358 0.181038969392863
1 2001 4 1 9 -5537.101358 9.98902110585593
1 2001 7 2 9 -5537.101358 0
1 2001 6 1 9 -5537.101358 7.4944164988855
1 2001 1 3 9 -5537.101358 10.4922173840325
1 2001 7 1 9 -5537.101358 2.88976694703867
1 2001 2 3 9 -5537.101358 7.92808419293435
1 2001 1 2 9 -5537.101358 11.1838238185586
1 2001 4 3 9 -5537.101358 4.6122955295856
1 2001 2 2 9 -5537.101358 8.71555011676744
1 2001 6 3 9 -5537.101358 1.16252570586253
1 2001 4 2 9 -5537.101358 1.71940750728152
1 2001 7 3 9 -5537.101358 0.294697456832287
1 2002 1 1 1 -5172.101358 7.39889606303986
1 2002 2 1 5 -5172.101358 0.788658875912049
1 2002 2 1 1 -5172.101358 19.0340077850696
1 2002 4 1 5 -5172.101358 1.23822582871718
1 2002 4 1 1 -5172.101358 28.3710381163957
1 2002 6 1 5 -5172.101358 1.04922466438246
1 2002 6 1 1 -5172.101358 20.2177947979571
1 2002 7 1 5 -5172.101358 0.503812278265821
1 2002 7 1 1 -5172.101358 6.79652572727812
1 2002 1 2 5 -5172.101358 0.905074920183161
1 2002 1 2 1 -5172.101358 21.675548507658
1 2002 2 2 5 -5172.101358 0.737574727265253
1 2002 2 2 1 -5172.101358 16.42087298011
1 2002 4 2 5 -5172.101358 0.126259525111083
1 2002 4 2 1 -5172.101358 2.46362207595237
