region year peat_type litter_type ground litter_biomass mortality
north 2009 7 fine_woody_litter below 0.0218232903023167 alive
north 2009 7 non-woody_litter above 0.233931829032818 alive
north 2010 1 fine_woody_litter above 0.148444729916576 alive
north 2010 1 fine_woody_litter below 0.100457602982233 alive
north 2010 1 non-woody_litter above 0.924656548051487 alive
north 2010 2 fine_woody_litter above 0.156643769780927 alive
north 2010 2 fine_woody_litter below 0.100691832640405 alive
north 2010 2 non-woody_litter above 0.739184270485982 alive
north 2010 4 fine_woody_litter above 0.123123885578319 alive
north 2010 4 fine_woody_litter below 0.0680223345590671 alive
north 2010 4 non-woody_litter above 0.544857601945426 alive
north 2010 6 fine_woody_litter above 0.0834655508034797 alive
north 2010 6 fine_woody_litter below 0.0407385947544803 alive
north 2010 6 non-woody_litter above 0.353574026695148 alive
north 2010 7 fine_woody_litter above 0.0486274773249243 alive
north 2010 7 fine_woody_litter below 0.0235879649652051 alive
north 2010 7 non-woody_litter above 0.249457301432305 alive
north 2011 1 fine_woody_litter above 0.15064049071292 alive
north 2011 1 fine_woody_litter below 0.101886968255086 alive
north 2011 1 non-woody_litter above 0.93481850784386 alive
north 2011 2 fine_woody_litter above 0.159228513892641 alive
north 2011 2 fine_woody_litter below 0.102310198054539 alive
north 2011 2 non-woody_litter above 0.732480847792503 alive
north 2011 4 fine_woody_litter above 0.126081779053153 alive
north 2011 4 fine_woody_litter below 0.0704156379898277 alive
north 2011 4 non-woody_litter above 0.549731532652994 alive
north 2011 6 fine_woody_litter above 0.085077112970636 alive
north 2011 6 fine_woody_litter below 0.0415563006476691 alive
north 2011 6 non-woody_litter above 0.350949866679179 alive
north 2011 7 fine_woody_litter above 0.0507664066980086 alive
north 2011 7 fine_woody_litter below 0.0253526396279859 alive
north 2011 7 non-woody_litter above 0.264982773830845 alive
north 2012 1 fine_woody_litter above 0.151434858696078 alive
north 2012 1 fine_woody_litter below 0.102604687951996 alive
north 2012 1 non-woody_litter above 0.927328949464802 alive
north 2012 2 fine_woody_litter above 0.161598935700128 alive
north 2012 2 fine_woody_litter below 0.104319735481741 alive
north 2012 2 non-woody_litter above 0.726368979340077 alive
north 2012 4 fine_woody_litter above 0.128689508747407 alive
north 2012 4 fine_woody_litter below 0.0725283215119163 alive
north 2012 4 non-woody_litter above 0.555177300216908 alive
north 2012 6 fine_woody_litter above 0.0863553853508457 alive
north 2012 6 fine_woody_litter below 0.0423175072881819 alive
north 2012 6 non-woody_litter above 0.349002146693579 alive
north 2012 7 fine_woody_litter above 0.0518310213911881 alive
north 2012 7 fine_woody_litter below 0.0280363350876898 alive
north 2012 7 non-woody_litter above 0.265816762012242 alive
north 2013 1 fine_woody_litter above 0.1494502337717 alive
north 2013 1 fine_woody_litter below 0.10191205992656 alive
north 2013 1 non-woody_litter above 0.884788108607923 alive
north 2013 2 fine_woody_litter above 0.163550513109849 alive
north 2013 2 fine_woody_litter below 0.107111088721684 alive
north 2013 2 non-woody_litter above 0.721414349848028 alive
north 2013 4 fine_woody_litter above 0.130609456593353 alive
north 2013 4 fine_woody_litter below 0.0740898819300477 alive
north 2013 4 non-woody_litter above 0.561772840869868 alive
north 2013 6 fine_woody_litter above 0.086975721240928 alive
north 2013 6 fine_woody_litter below 0.0429686724174645 alive
north 2013 6 non-woody_litter above 0.348391536517683 alive
north 2013 7 fine_woody_litter above 0.050766494692306 alive
north 2013 7 fine_woody_litter below 0.0325512489125717 alive
north 2013 7 non-woody_litter above 0.237496681585168 alive
north 2014 1 fine_woody_litter above 0.14747103131878 alive
north 2014 1 fine_woody_litter below 0.101221324327068 alive
north 2014 1 non-woody_litter above 0.842363499534945 alive
north 2014 2 fine_woody_litter above 0.165496758341852 alive
north 2014 2 fine_woody_litter below 0.109894815314856 alive
north 2014 2 non-woody_litter above 0.7164732575925 alive
north 2014 4 fine_woody_litter above 0.132524158681137 alive
north 2014 4 fine_woody_litter below 0.0756471757904569 alive
north 2014 4 non-woody_litter above 0.568350360923319 alive
north 2014 6 fine_woody_litter above 0.0875943622245236 alive
north 2014 6 fine_woody_litter below 0.0436180584073822 alive
north 2014 6 non-woody_litter above 0.34778259467529 alive
north 2014 7 fine_woody_litter above 0.0497048765357735 alive
north 2014 7 fine_woody_litter below 0.0370538269096365 alive
north 2014 7 non-woody_litter above 0.209253978412558 alive
north 2015 1 fine_woody_litter above 0.145491828866386 alive
north 2015 1 fine_woody_litter below 0.10053058872776 alive
north 2015 1 non-woody_litter above 0.799938890473235 alive
north 2015 2 fine_woody_litter above 0.167443003573337 alive
north 2015 2 fine_woody_litter below 0.112678541907288 alive
north 2015 2 non-woody_litter above 0.711532165338288 alive
north 2015 4 fine_woody_litter above 0.134438860768412 alive
north 2015 4 fine_woody_litter below 0.0772044696504525 alive
north 2015 4 non-woody_litter above 0.574927880975023 alive
north 2015 6 fine_woody_litter above 0.0882130032079549 alive
north 2015 6 fine_woody_litter below 0.0442674443971273 alive
north 2015 6 non-woody_litter above 0.347173652833059 alive
