region tkg species component year bm
2 4 1 5 1997 0.708542107764175
2 4 1 6 1997 1.30335623104096
2 4 1 7 1997 3.39079656489439
2 4 2 1 1997 1.08521829611681
2 4 2 2 1997 0.198255261446096
2 4 2 3 1997 0.621414366338378
2 4 2 4 1997 0.523346261007611
2 4 2 5 1997 0.0658027786061033
2 4 2 6 1997 0.160453300608037
2 4 2 7 1997 0.736173163671339
2 4 3 1 1997 3.48151492014691
2 4 3 2 1997 0.755582754260335
2 4 3 3 1997 1.10782679733673
2 4 3 4 1997 0.435975285374862
2 4 3 5 1997 0.0964948623093932
2 4 3 6 1997 0.596691320778933
2 4 3 7 1997 1.79964796025409
2 6 1 1 1997 7.43518780215965
2 6 1 2 1997 1.40131965480251
2 6 1 3 1997 2.50378159377873
2 6 1 4 1997 1.253293920236
2 6 1 5 1997 0.584069046324286
2 6 1 6 1997 0.931122031249871
2 6 1 7 1997 2.32933822434955
2 6 2 1 1997 0.202930617355614
2 6 2 2 1997 0.0445128292244343
2 6 2 3 1997 0.156306597478517
2 6 2 4 1997 0.143313436060575
2 6 2 5 1997 0.0128933381223842
2 6 2 6 1997 0.0373886709084872
2 6 2 7 1997 0.179849098150873
2 6 3 1 1997 0.728724533185976
2 6 3 2 1997 0.171704053936067
2 6 3 3 1997 0.30229699759638
2 6 3 4 1997 0.127508667035539
2 6 3 5 1997 0.0264818765440825
2 6 3 6 1997 0.184324757471973
2 6 3 7 1997 0.466630977079799
2 7 1 1 1997 4.7097401016083
2 7 1 2 1997 1.23114381950962
2 7 1 3 1997 1.40953666518267
2 7 1 4 1997 0.903191897667194
2 7 1 5 1997 0.492290965277274
2 7 1 6 1997 0.562020686280723
2 7 1 7 1997 1.34652119697479
2 7 2 1 1997 1.39215865120162
2 7 2 2 1997 0.458554010438848
2 7 2 3 1997 0.341846688786276
2 7 2 4 1997 0.267495679452165
2 7 2 5 1997 0.150919264006425
2 7 2 6 1997 0.151596280905797
2 7 2 7 1997 0.343978130941929
2 7 3 1 1997 0.0839553578794817
2 7 3 2 1997 0.0175040216999699
2 7 3 3 1997 0.0392771895859175
2 7 3 4 1997 0.0372596565409558
2 7 3 5 1997 0.00153215059243592
2 7 3 6 1997 0.0143050588675172
2 7 3 7 1997 0.0372792848157713
1 1 1 1 1998 6.38231786496385
1 1 1 2 1998 0.456164633314001
1 1 1 3 1998 1.13294945108281
1 1 1 4 1998 0.423091409446228
1 1 1 5 1998 0.31097515697525
1 1 1 6 1998 0.570442207786352
1 1 1 7 1998 1.77284510960256
1 1 2 1 1998 22.3422081446033
1 1 2 2 1998 2.7298560916287
1 1 2 3 1998 7.44729534560329
