region peat_type year total_emission
south 6 2006 -221.9974661499
south 6 2007 -243.467688905317
south 6 2008 -245.491742121526
south 6 2009 -244.299265935269
south 6 2010 -252.599789436412
south 6 2011 -267.240375697124
south 6 2012 -282.343335330242
south 6 2013 -301.659943490866
south 6 2014 -312.765894725739
south 6 2015 -322.522061039326
south 6 2016 -340.736672867711
south 6 2017 -342.403268937395
south 6 2018 -352.762224952063
south 6 2019 -347.134912632987
south 6 2020 -362.041621068214
south 6 2021 -380.044327574493
south 7 1990 -25.7270545751511
south 7 1991 -23.7947433043128
south 7 1992 -23.3385080315742
south 7 1993 -20.65067264011
south 7 1994 -19.5924152621137
south 7 1995 -19.3002238173664
south 7 1996 -18.1364524104176
south 7 1997 -16.9695348604508
south 7 1998 -16.4843013893835
south 7 1999 -17.6535187973571
south 7 2000 -18.2487159356829
south 7 2001 -19.6626435567375
south 7 2002 -20.0390792371996
south 7 2003 -21.1608953138464
south 7 2004 -21.812055063025
south 7 2005 -22.8431429338588
south 7 2006 -25.7416428665038
south 7 2007 -27.9927512069795
south 7 2008 -29.8058667326604
south 7 2009 -31.4493924091651
south 7 2010 -33.9297272399864
south 7 2011 -37.1599712147494
south 7 2012 -34.1982533210725
south 7 2013 -30.5847777163285
south 7 2014 -26.3541225844928
south 7 2015 -21.9577530671405
south 7 2016 -17.7975216390713
south 7 2017 -18.0613324137017
south 7 2018 -18.6519225971717
south 7 2019 -18.6190456491737
south 7 2020 -19.2851464762805
south 7 2021 -19.947637978252
